artist_id,title,cover_pic,created_at,spty_url,spty_uri,type
8,Mountain Air,https://i.scdn.co/image/ab67616d0000b273453ac1e1f815d00be11b5828,2025-06-05 01:17:38,https://open.spotify.com/album/4HKgaSH4i8XL92IC2fh7Tw,spotify:album:4HKgaSH4i8XL92IC2fh7Tw,single
12,Ain't No Mountain High Enough,https://i.scdn.co/image/ab67616d0000b273162d1559879e0cfec3e9dd22,2025-02-14 00:44:22,https://open.spotify.com/album/1ygNC8nhqT5qB4iFQrRZgn,spotify:album:1ygNC8nhqT5qB4iFQrRZgn,single
10,Conselho da Minha Ex,https://i.scdn.co/image/ab67616d0000b273bb4aa27a74bbde6e76f85be2,2023-08-11 07:44:18,https://open.spotify.com/album/0FCr0p4rgWqFOGWfTJJ8qw,spotify:album:0FCr0p4rgWqFOGWfTJJ8qw,single
1,Esencia Profunda,https://i.scdn.co/image/ab67616d0000b273da15f473a8a8c0ce11218101,2025-06-02 17:13:59,https://open.spotify.com/album/10yGpXTfy7y4VbcVwj8GmZ,spotify:album:10yGpXTfy7y4VbcVwj8GmZ,album
8,Consequências De Um Coração Machucado,https://i.scdn.co/image/ab67616d0000b273221b55f4ee769994c6b41085,2023-10-05 23:46:42,https://open.spotify.com/album/3hvcIAXdaiHr4a1BeCfm9e,spotify:album:3hvcIAXdaiHr4a1BeCfm9e,album
12,Xonei,https://i.scdn.co/image/ab67616d0000b273f5fb08798b3beb3633eba99f,2025-03-28 15:32:28,https://open.spotify.com/album/4Iw48EI5l19j4WzzCY41zi,spotify:album:4Iw48EI5l19j4WzzCY41zi,single
2,Stay on These Roads,https://i.scdn.co/image/ab67616d0000b27310816799318a67035593e8df,1988-05-03 18:21:35,https://open.spotify.com/album/6lka22PtQOmCt5ri8GPSZm,spotify:album:6lka22PtQOmCt5ri8GPSZm,album
17,ドライブが楽しくなる洋楽ヒッツ！,https://i.scdn.co/image/ab67616d0000b2730946d11271fa6083bc8ea769,2025-05-02 05:13:01,https://open.spotify.com/album/1itNrmjsb16gCxh82JjA6u,spotify:album:1itNrmjsb16gCxh82JjA6u,album
6,Intellect,https://i.scdn.co/image/ab67616d0000b2739108ab60791a5b4e8a11cd98,2024-01-09 04:35:43,https://open.spotify.com/album/2Okp2WYEu8FpCOJKRHxMYj,spotify:album:2Okp2WYEu8FpCOJKRHxMYj,single
17,Memory,https://i.scdn.co/image/ab67616d0000b273b7d0b122e020c571d73860ab,2024-01-12 20:56:05,https://open.spotify.com/album/5Zj80EmOeChxttM1G8Y6au,spotify:album:5Zj80EmOeChxttM1G8Y6au,single
7,Creep EP,https://i.scdn.co/image/ab67616d0000b2733340ec817b195f40615cc647,1992-09-21 18:21:43,https://open.spotify.com/album/1w1LIhUSQLKew0dYwiVX2q,spotify:album:1w1LIhUSQLKew0dYwiVX2q,single
16,Creep,https://i.scdn.co/image/ab67616d0000b27337f1a4721cee2084122a4960,2022-08-05 16:58:52,https://open.spotify.com/album/1JQOUrnGO8cW4ozVKAIbID,spotify:album:1JQOUrnGO8cW4ozVKAIbID,single
10,"Carlos, Erasmo [Versão Com Bônus (1971)]",https://i.scdn.co/image/ab67616d0000b2731d043e95299fc3af12d997b7,1971-01-01 23:29:02,https://open.spotify.com/album/2qimhNvbQmkAxG9GS8wj5M,spotify:album:2qimhNvbQmkAxG9GS8wj5M,album
5,Collected,https://i.scdn.co/image/ab67616d0000b2737f29399efc7ee01e8c56936d,2018-05-25 17:52:02,https://open.spotify.com/album/2vBpHUDhVTInqSLxkw9Kx2,spotify:album:2vBpHUDhVTInqSLxkw9Kx2,album
2,H/lf W/y,https://i.scdn.co/image/ab67616d0000b27349a2cfb34fa27f3b4ac912b3,2025-01-24 01:45:44,https://open.spotify.com/album/1pRVLT8t0QcdaSgOv9bT0v,spotify:album:1pRVLT8t0QcdaSgOv9bT0v,single
17,Bença,https://i.scdn.co/image/ab67616d0000b27335c77d27d6afa42d05c88ff1,2024-05-17 14:57:30,https://open.spotify.com/album/6lMy42wa9ZOLdShxkKuFiO,spotify:album:6lMy42wa9ZOLdShxkKuFiO,single
3,Collateral Damage,https://i.scdn.co/image/ab67616d0000b2738c3ac36f04030bba19d8f3b6,2022-03-18 06:49:47,https://open.spotify.com/album/4fwzQMEZQQAh17HKP5bx44,spotify:album:4fwzQMEZQQAh17HKP5bx44,single
17,Collateral Beauty (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b27332ca89cb62540e536556daa8,2016-12-09 21:54:16,https://open.spotify.com/album/3la5NRfKGGKi04a2JGbkvF,spotify:album:3la5NRfKGGKi04a2JGbkvF,album
